Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-04-03;1.614,11;1.619,43;1.608,00;1.619,43;0;0
2020-04-02;1.591,85;1.619,7;1.583,62;1.613,28;0;0
2020-04-01;1.571,50;1.599,86;1.570,75;1.591,28;0;0
2020-03-31;1.623,13;1.623,82;1.575,62;1.577;0;0
2020-03-30;1.615,83;1.627,52;1.612,24;1.622,34;0;0
2020-03-27;1.629,6;1.632,9;1.615,03;1.620,15;0;0
2020-03-26;1.610,33;1.642,98;1.597,58;1.632,5;0;0
2020-03-25;1.634,3;1.637,06;1.598,12;1.615,51;0;0
2020-03-24;1.565,59;1.634,24;1.560,21;1.630,29;0;0
2020-03-23;1.493,01;1.566,56;1.485,24;1.565,05;0;0
2020-03-20;1.467,58;1.515,74;1.466,50;1.497,42;0;0
2020-03-19;1.482,55;1.500,09;1.462,92;1.468,75;0;0
2020-03-18;1.534,52;1.541,92;1.473,85;1.482,66;0;0
2020-03-17;1.510,05;1.554,06;1.466,31;1.536,4;0;0
2020-03-16;1.534,88;1.549,50;1.452,62;1.506,25;0;0
2020-03-13;1.576,22;1.597,69;1.507,61;1.529,54;0;0
2020-03-12;1.638,93;1.649,99;1.561,97;1.577,82;0;0
2020-03-11;1.653,82;1.670,76;1.633,74;1.637,59;0;0
2020-03-10;1.671,53;1.671,53;1.642,68;1.653,97;0;0
2020-03-09;1.701,57;1.701,57;1.658,58;1.673,42;0;0
2020-03-06;1.672,59;1.691,09;1.648,26;1.674,18;0;0
2020-03-05;1.637,59;1.674,14;1.635,18;1.671,1;0;0
2020-03-04;1.638,4;1.652,44;1.632,04;1.637,5;0;0
2020-03-03;1.590,85;1.648,54;1.590,06;1.642,18;0;0
2020-03-02;1.596,69;1.610,78;1.585,19;1.588,44;0;0
2020-02-28;1.644,1;1.649,41;1.565,18;1.585,27;0;0
2020-02-27;1.641,52;1.659,74;1.635,76;1.645,2;0;0
2020-02-26;1.637,02;1.654,74;1.626,05;1.641,50;0;0
2020-02-25;1.659,64;1.659,75;1.629,74;1.634,71;0;0
2020-02-24;1.662,09;1.688,61;1.652,87;1.658,85;0;0
2020-02-21;1.620,52;1.648,8;1.619,27;1.643,65;;
2020-02-20;1.611,23;1.623,24;1.604,37;1.619,88;;
2020-02-19;1.601,34;1.612,95;1.599,63;1.612,31;;
2020-02-18;1.583,96;1.604,95;1.583,65;1.602,07;;
2020-02-17;1.582,21;1.583,25;1.578,97;1.581,05;;
2020-02-14;1.576,24;1.584,82;1.573,46;1.584,7;;
2020-02-13;1.566,50;1.577,98;1.565,74;1.575,57;;
2020-02-12;1.567,96;1.570,39;1.562,27;1.565,64;;
2020-02-11;1.572,16;1.573,94;1.562,62;1.567,12;;
2020-02-10;1.571,48;1.576,93;1.568,16;1.572,20;;
2020-02-07;1.566,18;1.573,72;1.563,01;1.570,33;;
2020-02-06;1.555,95;1.567,68;1.552,93;1.566,04;;
2020-02-05;1.552,88;1.562,23;1.548,02;1.555,52;;
2020-02-04;1.578,31;1.579,45;1.549,44;1.554,48;;
2020-02-03;1.582,46;1.583,93;1.571,7;1.576,99;;
2020-01-31;1.574,57;1.590,03;1.571,1;1.590,03;;
2020-01-30;1.575,94;1.585,88;1.572,86;1.574,28;;
2020-01-29;1.567,22;1.577,88;1.563,52;1.576,98;;
2020-01-28;1.581,75;1.582,79;1.566,38;1.568,89;;
2020-01-27;1.581,19;1.585,91;1.576,16;1.581,42;;
2020-01-24;1.563,29;1.575,8;1.556,8;1.570,63;;
2020-01-23;1.559;1.567,90;1.552,19;1.563,31;;
2020-01-22;1.558,86;1.559,25;1.550,68;1.558,95;;
2020-01-21;1.560,87;1.568,4;1.547,23;1.557,65;;
2020-01-20;1.557,70;1.562,76;1.557,15;1.560,97;;
2020-01-17;1.552,38;1.561,19;1.549,63;1.556,92;;
2020-01-16;1.555,62;1.558,07;1.548,41;1.553,05;;
2020-01-15;1.546,54;1.557,93;1.546,50;1.556,82;;
2020-01-14;1.548,8;1.548,93;1.536,48;1.546,99;;
2020-01-13;1.556,92;1.557,4;1.547,22;1.547,36;;
2020-01-10;1.552,96;1.563,11;1.545,85;1.562,70;;
2020-01-09;1.556,48;1.561,36;1.541,3;1.551,76;;
2020-01-08;1.575,33;1.610,49;1.552,85;1.556,76;;
2020-01-07;1.565,38;1.577,22;1.555,65;1.573,59;;
2020-01-06;1.577,97;1.579,41;1.561,38;1.566,36;;
2020-01-03;1.528,74;1.552,88;1.528,02;1.551,3;;
2020-01-02;1.520,79;1.531,28;1.518,67;1.529,76;;





